st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
336;1972-01-01;-1.1;-1.0;-1.0;-1.2;-0.8;-1.2;0.0;0;0;100;100;100;0.0;10;10;10;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-02;-1.1;-1.6;-0.2;-1.2;0.2;-1.6;8.2;2;2;100;100;100;0.0;10;10;10;28;0.9;28;0.9;28;0.9;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-03;-0.6;-1.2;0.2;-0.6;0.2;-1.2;-1;1;-1;100;100;100;0.0;10;10;10;28;0.9;28;2.4;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-04;-0.8;-1.2;0.0;-1.0;0.2;-1.2;6.2;1;-1;92;100;100;0.0;10;10;10;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-05;-0.3;-1.4;1.2;-0.4;1.4;-1.4;-1;1;-1;100;100;100;0.0;10;10;10;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-06;-1.1;-1.4;-0.4;-1.2;-0.2;-1.6;-1;1;-1;96;96;96;0.0;10;10;10;0;0.0;0;0.0;28;0.9;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-07;-1.2;-1.8;-0.4;-1.2;-0.4;-2.2;-1;1;-1;92;93;96;0.0;10;10;10;28;0.9;28;0.9;28;0.9;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-08;-1.6;-3.0;0.2;-1.8;0.4;-3.2;2.0;2;1;96;96;96;2.8;8;6;6;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-09;-3.4;-4.8;-2.2;-3.2;-1.8;-4.8;-1;-1;-1;91;92;96;0.0;10;6;6;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-10;-3.9;-4.2;-4.0;-3.6;-3.2;-5.0;-1;-1;-1;91;96;96;0.0;10;10;10;0;0.0;28;0.9;28;0.9;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-11;-1.4;-3.4;0.0;-1.0;0.0;-3.6;-1;-1;-1;96;96;96;0.0;10;10;10;28;0.9;28;2.4;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-12;-1.8;-1.8;-0.4;-2.4;-0.2;-2.4;-1;-1;-1;96;96;96;0.0;10;10;8;28;0.9;28;0.9;28;2.4;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-13;-7.1;-7.2;-3.0;-9.0;-2.4;-9.0;0.0;0;0;79;88;81;6.5;3;3;3;28;0.9;28;2.4;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-14;-5.7;-7.6;-5.2;-5.0;-4.8;-10.0;-1;-1;-1;83;82;70;0.0;10;8;10;28;0.9;28;0.9;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-15;-7.3;-7.2;-6.8;-7.6;-5.0;-7.6;-1;-1;-1;79;79;88;0.1;10;6;10;28;0.9;0;0.0;28;0.9;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-16;-7.2;-8.6;-6.2;-7.0;-6.0;-8.6;0.0;-1;-1;87;85;84;0.0;10;10;10;28;0.9;28;4.4;28;4.4;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-17;-10.3;-10.0;-9.8;-10.6;-7.0;-10.6;0.0;1;1;74;74;84;0.0;10;10;10;28;4.4;28;2.4;28;2.4;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-18;-8.6;-10.0;-8.2;-8.0;-8.0;-10.6;4.4;2;2;79;72;87;0.0;10;10;10;28;0.9;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-19;-8.7;-8.2;-4.6;-11.0;-4.6;-11.0;2.4;3;1;72;96;84;0.0;10;10;10;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
336;1972-01-20;-5.9;-8.4;-5.2;-5.0;-5.0;-12.4;-1;2;-1;83;86;91;0.0;10;10;10;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;RADENCI;198;46.64203156388;16.0487404442159
