st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
360;1961-01-01;5.4;4.6;5.3;5.9;7.5;2.7;-1;-1;-1;60;79;90;0.0;6;10;10;12;2.4;12;2.4;20;2.4;1;1;1;8;7;7;1013.3;1013.7;1011.4;KOPER;33;45.544366407429;13.712017071271
360;1961-01-02;7.7;8.6;7.4;7.3;8.8;5.6;28.5;-1;-1;92;84;88;0.0;10;10;10;12;2.4;20;2.4;30;2.4;2;2;2;6;7;8;1008.6;1009.8;1010.8;KOPER;33;45.544366407429;13.712017071271
360;1961-01-03;9.3;6.2;8.8;11.0;11.8;5.9;0.8;-1;-1;86;88;66;0.2;10;9;10;0;0.0;20;2.4;14;6.7;1;1;2;7;6;7;1008.5;1005.2;1002.0;KOPER;33;45.544366407429;13.712017071271
360;1961-01-04;8.4;9.5;9.2;7.4;12.8;7.2;14.5;-1;-1;91;78;82;0.0;10;10;8;12;12.3;12;4.4;12;2.4;2;2;2;7;8;8;995.8;997.7;1000.5;KOPER;33;45.544366407429;13.712017071271
360;1961-01-05;5.8;7.0;7.2;4.5;8.6;4.0;13.1;-1;-1;83;84;96;1.4;9;9;0;20;2.4;28;2.4;0;0.0;2;2;2;7;7;6;1004.5;1009.4;1014.6;KOPER;33;45.544366407429;13.712017071271
360;1961-01-06;5.6;3.9;7.0;5.7;7.8;1.4;0.2;-1;-1;56;75;76;5.8;0;6;10;0;0.0;20;2.4;12;0.9;1;1;1;8;8;8;1016.5;1015.7;1013.0;KOPER;33;45.544366407429;13.712017071271
360;1961-01-07;6.7;5.9;7.8;6.6;8.4;5.0;3.6;-1;-1;89;76;66;0.2;10;10;1;12;0.9;12;4.4;10;6.7;2;2;2;8;8;9;1009.6;1010.2;1013.4;KOPER;33;45.544366407429;13.712017071271
360;1961-01-08;6.3;5.9;8.4;5.4;9.0;4.6;4.2;-1;-1;61;64;80;3.4;1;9;9;0;0.0;22;2.4;22;0.9;1;1;1;9;9;7;1014.4;1012.5;1013.2;KOPER;33;45.544366407429;13.712017071271
360;1961-01-09;6.0;4.0;9.0;5.5;9.8;2.3;-1;-1;-1;70;58;71;5.2;7;1;0;12;2.4;28;2.4;0;0.0;1;1;1;8;8;8;1012.2;1011.0;1011.8;KOPER;33;45.544366407429;13.712017071271
360;1961-01-10;6.0;4.6;8.2;5.6;8.6;1.2;-1;-1;-1;63;60;75;5.7;2;2;10;12;2.4;28;2.4;12;2.4;1;1;1;8;8;8;1013.0;1012.2;1011.6;KOPER;33;45.544366407429;13.712017071271
360;1961-01-11;9.9;9.6;10.9;9.6;11.4;5.4;0.2;-1;-1;73;78;90;0.0;10;10;10;12;6.7;12;2.4;10;0.9;1;2;2;7;7;7;1009.3;1009.6;1012.4;KOPER;33;45.544366407429;13.712017071271
360;1961-01-12;7.0;8.2;7.4;6.2;10.4;6.0;12.6;-1;-1;76;63;66;0.0;10;10;10;6;4.4;6;6.7;4;6.7;2;2;2;8;8;8;1016.0;1017.8;1022.2;KOPER;33;45.544366407429;13.712017071271
