st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
95;1961-01-01;3.6;3.8;5.4;2.6;6.0;2.6;-1;-1;-1;null;null;null;null;10;10;10;16;2.4;8;2.4;8;4.4;1;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-02;3.2;3.2;3.6;3.0;4.0;2.6;35.5;-1;-1;null;null;null;null;10;10;10;8;2.4;8;4.4;8;2.4;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-03;6.5;3.6;4.6;8.8;8.8;3.0;2.8;-1;-1;null;null;null;null;10;10;10;8;2.4;8;4.4;8;2.4;2;1;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-04;7.0;8.2;9.6;5.0;9.8;5.0;32.4;-1;-1;null;null;null;null;10;10;10;8;2.4;8;2.4;4;0.9;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-05;5.3;5.0;9.6;3.2;10.6;3.2;12.2;-1;-1;null;null;null;null;10;0;0;4;2.4;4;2.4;4;4.4;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-06;6.0;3.6;9.2;5.6;9.8;3.2;-1;-1;-1;null;null;null;null;0;2;7;8;4.4;32;4.4;4;6.7;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-07;5.0;3.0;6.8;5.0;7.2;2.6;0.0;-1;-1;null;null;null;null;10;10;6;32;4.4;8;2.4;8;4.4;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-08;3.3;2.6;6.0;2.2;7.2;0.4;0.4;-1;-1;null;null;null;null;2;10;10;4;4.4;4;4.4;4;4.4;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-09;4.4;3.6;7.4;3.2;7.8;2.2;-1;-1;-1;null;null;null;null;0;2;4;4;4.4;8;4.4;4;2.4;2;1;1;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-10;5.3;4.6;8.0;4.2;8.4;3.2;-1;-1;-1;null;null;null;null;6;2;6;8;2.4;4;2.4;4;9.3;1;1;1;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-11;5.6;3.6;5.4;6.6;7.2;3.2;0.0;-1;-1;null;null;null;null;10;10;10;4;6.7;8;6.7;4;6.7;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-12;6.4;4.6;8.4;6.2;8.6;3.8;34.2;-1;-1;null;null;null;null;10;10;10;4;6.7;4;6.7;4;9.3;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-13;4.6;4.2;6.2;4.0;6.8;3.2;-1;-1;-1;null;null;null;null;0;0;0;32;2.4;4;4.4;8;2.4;2;2;2;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-14;3.7;0.0;10.0;2.4;10.8;-1.6;-1;-1;-1;null;null;null;null;0;2;6;32;2.4;8;2.4;4;9.3;3;1;0;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-15;3.6;2.2;5.2;3.5;6.8;2.2;-1;-1;-1;null;null;null;null;10;10;10;4;15.5;4;9.3;8;12.3;0;0;0;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-16;4.7;2.2;7.4;4.6;8.2;2.0;-1;-1;-1;null;null;null;null;0;0;0;4;4.4;4;2.4;4;6.7;0;0;0;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-17;3.3;1.6;7.2;2.2;7.6;-2.0;-1;-1;-1;null;null;null;null;4;5;4;4;2.4;4;2.4;8;2.4;0;0;0;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-18;-2.5;-2.4;0.8;-4.1;2.2;-4.1;-1;-1;-1;null;null;null;null;0;0;0;32;6.7;32;2.4;4;9.3;3;3;3;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-19;-2.3;-5.0;0.2;-2.2;1.2;-5.6;-1;-1;-1;null;null;null;null;0;0;0;32;4.4;4;2.4;32;4.4;3;3;3;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-20;-0.4;-4.0;2.4;0.0;3.5;-4.2;-1;-1;-1;null;null;null;null;0;0;0;32;4.4;32;2.4;32;4.4;3;3;3;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-21;-0.3;-4.6;2.2;0.6;3.5;-4.8;-1;-1;-1;null;null;null;null;2;0;0;4;9.3;32;6.7;4;6.7;3;3;3;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
95;1961-01-22;1.3;-3.6;2.6;3.0;3.0;-4.0;-1;-1;-1;null;null;null;null;7;10;10;4;9.3;4;4.4;8;2.4;3;3;0;null;null;null;null;null;null;SOLKAN;100;45.9663496907284;13.6453699300003
