st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
357;1962-05-09;21.8;19.6;25.4;21.0;null;null;-1;-1;-1;null;null;null;null;2;1;2;12;0.9;12;9.3;12;9.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-10;15.9;18.0;21.0;12.3;null;null;-1;-1;-1;null;null;null;null;2;5;10;20;2.4;20;6.7;20;9.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-11;11.5;9.0;16.2;10.4;null;null;-1;-1;-1;null;null;null;null;8;8;10;32;2.4;32;2.4;32;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-12;12.8;16.0;14.2;10.4;null;null;22.0;-1;-1;null;null;null;null;8;8;10;12;4.4;12;2.4;28;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-13;12.0;10.0;13.4;12.3;null;null;5.7;-1;-1;null;null;null;null;10;8;8;12;2.4;12;2.4;12;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-14;12.5;13.0;15.0;11.0;null;null;2.9;-1;-1;null;null;null;null;10;5;10;18;9.3;18;12.3;8;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-15;9.3;8.3;13.0;8.0;null;null;1.2;-1;-1;null;null;null;null;10;7;1;28;2.4;28;4.4;28;6.7;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-16;10.5;7.2;16.0;9.3;null;null;-1;-1;-1;null;null;null;null;7;5;2;20;2.4;20;4.4;20;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-17;13.9;11.3;20.3;12.0;null;null;-1;-1;-1;null;null;null;null;1;5;0;20;2.4;20;9.3;20;4.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-18;16.1;13.2;20.4;15.3;null;null;-1;-1;-1;null;null;null;null;8;7;7;4;4.4;20;6.7;20;6.7;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-19;16.7;14.1;20.2;16.2;null;null;-1;-1;-1;null;null;null;null;1;2;8;20;4.4;20;12.3;20;9.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-20;8.1;7.2;9.0;8.0;null;null;16.5;-1;-1;null;null;null;null;10;10;9;4;9.3;4;4.4;4;4.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-21;10.5;8.2;10.8;11.4;null;null;14.6;-1;-1;null;null;null;null;3;4;2;4;4.4;4;4.4;4;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-22;14.9;8.4;19.0;16.0;null;null;-1;-1;-1;null;null;null;null;2;2;7;4;0.9;4;2.4;4;0.9;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-23;17.7;16.2;21.8;16.3;null;null;-1;-1;-1;null;null;null;null;2;1;0;4;2.4;4;2.4;4;4.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-24;15.4;16.0;18.0;13.8;null;null;-1;-1;-1;null;null;null;null;2;2;10;8;6.7;8;12.3;8;12.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-25;9.1;8.2;10.2;9.0;null;null;7.8;-1;-1;null;null;null;null;10;10;10;8;0.9;8;0.9;8;0.9;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-26;10.2;9.0;11.4;10.1;null;null;2.0;-1;-1;null;null;null;null;10;8;10;8;0.9;8;0.9;8;0.9;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-27;10.7;9.0;13.3;10.3;null;null;1.5;-1;-1;null;null;null;null;10;10;5;4;0.9;4;2.4;4;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-28;17.2;12.3;22.2;17.2;null;null;4.5;-1;-1;null;null;null;null;5;2;2;12;4.4;12;9.3;20;12.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-29;16.0;13.4;20.2;15.2;null;null;-1;-1;-1;null;null;null;null;5;3;10;20;4.4;20;6.7;20;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-30;10.1;10.2;12.2;9.0;null;null;0.9;-1;-1;null;null;null;null;10;10;5;24;2.4;24;2.4;24;0.9;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-05-31;15.8;9.0;20.0;17.0;null;null;4.8;-1;-1;null;null;null;null;3;2;3;24;2.4;20;6.7;20;6.7;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-01;10.8;12.1;17.0;7.1;null;null;1.8;-1;-1;null;null;null;null;10;8;10;4;18.9;4;18.9;4;12.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-02;8.3;7.9;11.1;7.0;null;null;2.2;-1;-1;null;null;null;null;10;10;10;4;6.7;4;9.3;4;12.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-03;8.2;8.6;9.0;7.5;null;null;2.7;-1;-1;null;null;null;null;6;3;1;4;12.3;4;9.3;4;2.4;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-04;8.8;9.0;12.0;7.0;null;null;-1;-1;-1;null;null;null;null;1;5;4;8;6.7;8;6.7;8;6.7;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-05;10.5;7.0;15.0;10.0;null;null;-1;-1;-1;null;null;null;null;6;5;4;28;4.4;28;6.7;28;12.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-06;11.7;11.2;15.4;10.0;null;null;-1;-1;-1;null;null;null;null;3;3;3;32;6.7;32;12.3;32;12.3;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
357;1962-06-07;7.9;8.8;6.8;8.0;null;null;-1;-1;-1;null;null;null;null;3;10;10;32;2.4;4;15.5;4;6.7;null;null;null;null;null;null;null;null;null;MAČKOVCI;331;46.7821893919017;16.15524217695
