st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
112;1961-01-01;5.5;3.0;5.0;7.0;7.1;1.5;-1;-1;-1;79;90;85;null;4;10;10;8;0.9;12;0.9;12;6.7;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-02;6.9;7.8;6.8;6.4;8.3;6.4;20.0;-1;-1;92;98;94;null;10;10;10;16;0.9;24;2.4;16;2.4;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-03;9.1;6.0;10.8;9.8;11.7;5.3;0.4;-1;-1;85;75;84;null;9;8;10;16;2.4;16;2.4;12;6.7;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-04;7.7;8.0;8.3;7.2;11.3;6.5;24.0;-1;-1;92;87;76;null;10;10;8;16;2.4;16;4.4;16;4.4;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-05;4.0;5.3;7.2;1.8;8.3;1.0;8.5;-1;-1;91;89;96;null;9;7;0;8;0.9;4;0.9;4;0.9;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-06;5.4;3.4;7.6;5.2;7.9;0.0;-1;-1;-1;63;64;75;null;0;3;9;8;0.9;20;0.9;16;4.4;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-07;6.6;5.4;8.0;6.4;8.1;5.0;7.4;-1;-1;94;78;76;null;9;9;10;0;0.0;16;2.4;4;9.3;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-09;4.2;3.0;10.0;1.8;10.1;1.0;-1;-1;-1;87;64;85;null;4;3;1;4;0.9;28;2.4;4;0.9;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-10;4.8;0.0;9.2;5.0;9.5;-0.6;-1;-1;-1;89;71;69;null;0;1;8;8;0.9;28;0.9;12;0.9;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
112;1961-01-11;9.6;9.0;10.4;9.4;10.8;5.0;-1;-1;-1;68;82;92;null;8;10;10;12;6.7;16;2.4;16;2.4;null;null;null;null;null;null;null;null;null;KORTINE PRI ČRNEM KALU;120;45.5408417048077;13.8634179107963
