st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
58;1961-01-01;0.6;0.6;0.9;0.5;1.5;-1.0;-1;3;-1;88;95;93;0.0;10;10;10;0;0.0;12;0.9;0;0.0;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-02;0.4;0.1;0.5;0.5;1.7;0.1;27.1;38;35;100;95;98;0.0;10;10;10;0;0.0;12;0.9;16;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-03;1.5;-0.3;1.4;2.5;3.5;-1.2;10.2;47;9;89;97;95;0.0;10;10;10;0;0.0;8;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-04;2.6;3.8;3.0;1.8;6.0;-1.2;108.2;24;0;97;95;97;0.0;10;10;10;24;4.4;28;0.9;28;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-05;0.7;0.6;4.7;-1.2;5.0;-2.1;28.1;26;4;98;79;94;3.3;10;2;0;20;0.9;12;0.9;32;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-06;-1.8;-3.8;1.0;-2.2;2.0;-5.3;6.1;18;1;92;82;98;4.4;1;4;10;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-07;-0.1;-0.4;2.7;-1.3;2.7;-3.2;4.3;26;8;98;92;98;0.0;10;10;0;24;0.9;28;0.9;32;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-08;-1.6;-5.0;2.2;-1.7;2.4;-6.2;2.5;29;3;87;69;87;0.3;0;10;6;4;0.9;12;0.9;28;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-09;0.6;-0.3;3.9;-0.7;4.4;-3.0;0.8;30;1;96;80;84;2.1;10;3;10;28;0.9;12;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-10;-1.5;-3.6;3.0;-2.6;4.5;-4.7;1.1;31;1;94;66;88;5.1;1;1;10;28;0.9;12;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-11;1.1;0.4;0.8;1.5;1.9;-3.4;1.4;33;2;97;97;95;0.0;10;10;10;0;0.0;0;0.0;0;0.0;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-12;1.5;1.8;3.0;0.6;3.3;-0.1;52.1;25;0;97;91;97;0.0;10;10;10;8;0.9;20;0.9;32;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-13;-3.2;-3.3;0.8;-5.1;1.5;-5.7;0.0;24;-1;90;78;97;4.0;6;0;0;0;0.0;28;0.9;32;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-14;-4.5;-7.8;0.2;-5.1;2.7;-9.0;-1;23;-1;88;66;89;4.8;0;0;0;24;0.9;20;0.9;28;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-15;-0.7;-6.1;2.0;0.6;2.0;-7.7;-1;23;-1;83;63;67;0.0;10;8;10;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-16;-0.2;-1.1;4.4;-2.0;6.0;-2.7;-1;23;-1;76;61;81;0.6;7;5;0;28;0.9;28;2.4;24;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-17;-3.0;-3.2;2.2;-5.4;2.6;-6.2;-1;23;-1;77;60;91;6.3;0;0;0;28;2.4;12;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-18;-7.9;-9.8;-3.2;-9.3;-2.5;-10.5;-1;23;-1;88;66;73;5.7;0;0;0;12;0.9;12;2.4;0;0.0;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-19;-9.2;-13.2;-4.4;-9.5;-4.4;-14.1;-1;23;-1;81;75;78;5.8;0;0;0;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-20;-6.1;-11.2;-0.5;-6.4;-0.2;-12.7;-1;23;-1;75;53;74;5.9;0;4;0;32;0.9;24;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-21;-4.5;-7.8;-0.2;-5.0;1.2;-8.9;-1;23;-1;88;55;87;3.3;1;2;1;28;0.9;12;0.9;32;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-22;-4.4;-8.3;0.1;-4.7;0.5;-9.0;-1;23;-1;87;61;81;4.8;0;4;0;24;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-23;-1.7;-6.4;0.4;-0.3;1.0;-7.5;-1;23;-1;83;68;98;0.1;1;9;10;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-24;1.1;0.0;2.2;1.0;2.5;-1.4;-1;23;-1;95;90;93;0.0;10;10;10;4;0.9;16;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-25;0.6;-0.2;2.4;0.0;3.5;-1.2;1.8;23;0;96;83;93;0.6;10;10;10;12;0.9;12;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-26;0.3;-0.1;4.0;-1.3;4.5;-2.2;-1;23;-1;79;53;76;0.0;7;10;2;24;0.9;8;6.7;24;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-27;-4.0;-4.8;1.7;-6.4;2.1;-7.1;-1;22;-1;75;48;80;6.6;0;0;0;28;2.4;12;4.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-28;-6.0;-10.1;-0.1;-6.8;0.9;-11.0;-1;22;-1;85;54;80;6.6;0;1;0;24;0.9;16;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-29;-3.7;-10.1;1.7;-3.1;2.0;-10.6;-1;22;-1;88;56;80;5.8;3;2;0;24;0.9;12;2.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-30;-0.6;-4.4;2.6;-0.2;3.0;-5.2;-1;22;-1;88;62;79;1.6;3;10;10;28;0.9;12;2.4;32;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-01-31;0.0;-2.4;0.8;0.8;1.2;-4.2;-1;22;-1;90;87;88;0.0;10;10;10;24;0.9;12;0.9;16;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-01;4.0;0.6;4.2;5.6;6.0;-0.1;10.9;22;-1;95;73;40;0.0;10;10;10;28;0.9;24;2.4;8;9.3;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-02;-0.4;-3.4;3.4;-0.7;5.6;-4.5;17.9;21;0;77;52;63;2.7;0;10;7;32;2.4;16;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-03;1.3;-1.7;6.9;-0.1;7.5;-3.2;-1;21;-1;79;47;76;5.1;10;3;0;4;0.9;4;0.9;24;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-04;1.5;-2.3;4.6;1.8;6.5;-3.7;-1;21;-1;73;80;100;4.8;1;2;10;28;0.9;24;2.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-05;2.5;-0.5;7.3;1.5;7.5;-2.0;0.0;21;0;96;85;100;6.5;7;3;0;32;2.4;12;6.7;28;4.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-06;-0.5;-3.4;3.8;-1.1;5.0;-4.5;-1;21;-1;96;97;100;6.9;3;3;6;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-07;-1.5;-2.8;0.2;-1.7;0.6;-3.6;-1;21;-1;98;97;98;0.0;8;10;4;28;0.9;28;0.9;8;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-08;1.2;-4.3;9.4;-0.1;10.0;-6.2;2.8;25;4;92;63;89;7.5;1;2;0;28;0.9;12;6.7;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-09;1.4;-2.0;4.2;1.6;6.0;-4.0;-1;24;-1;94;96;87;3.3;0;7;7;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-10;5.9;4.0;11.2;4.1;12.5;-3.0;-1;24;-1;64;59;73;8.1;10;0;0;24;4.4;8;12.3;24;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-11;0.9;-1.1;4.4;0.2;6.1;-2.1;-1;22;-1;87;77;83;1.3;1;10;0;28;0.9;28;4.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-12;5.9;-2.2;10.0;7.8;10.4;-3.3;-1;22;-1;85;53;69;5.7;9;3;0;4;0.9;8;9.3;4;9.3;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-13;3.3;-0.5;9.0;2.3;10.0;-1.2;1.4;22;-1;82;48;84;5.3;2;3;0;28;0.9;8;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-14;4.1;1.6;10.3;2.2;11.5;0.4;-1;21;-1;90;60;84;8.2;7;0;0;28;0.9;12;2.4;28;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-15;4.2;-0.1;10.8;3.0;11.5;-1.2;-1;18;-1;95;65;88;7.5;0;0;0;24;0.9;12;0.9;12;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-16;5.4;0.6;12.4;4.3;13.6;-0.1;-1;17;-1;91;55;87;9.0;0;0;0;20;0.9;12;0.9;28;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-17;3.5;0.0;10.0;1.9;10.6;-1.4;-1;16;-1;91;71;92;8.4;0;1;0;28;0.9;12;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-18;6.0;1.2;14.8;4.0;16.5;-0.6;-1;14;-1;80;41;82;8.5;0;0;0;32;0.9;12;2.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-19;6.5;2.5;14.2;4.7;14.9;0.8;-1;12;-1;72;49;77;8.5;0;0;0;20;0.9;12;2.4;24;2.4;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-20;5.7;2.6;11.2;4.4;12.5;0.9;-1;11;-1;69;61;83;5.7;1;6;9;8;2.4;24;2.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-21;3.4;2.8;7.6;1.6;8.4;1.0;-1;10;-1;91;64;89;3.6;10;9;0;4;0.9;24;0.9;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
58;1961-02-22;2.3;-1.3;8.0;1.2;8.7;-2.1;-1;9;-1;93;63;90;2.7;4;6;7;12;0.9;12;2.4;24;0.9;null;null;null;null;null;null;null;null;null;BOVEC;483;46.3329717500605;13.545368546269
