st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
105;1961-01-01;2.7;1.5;2.4;3.5;4.0;0.8;-1;-1;-1;71;87;97;0.0;10;10;10;4;2.4;12;2.4;12;2.4;0;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-02;4.3;5.0;4.0;4.0;5.4;2.9;36.0;-1;-1;99;100;97;0.0;10;10;10;12;0.9;20;0.9;0;0.0;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-03;5.9;4.1;5.8;6.8;7.2;2.5;3.4;-1;-1;100;99;89;0.0;10;10;10;16;0.9;20;0.9;12;4.4;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-04;5.2;6.0;5.4;4.6;8.8;4.2;30.1;-1;-1;100;96;90;0.0;10;10;10;16;4.4;12;0.9;12;2.4;2;2;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-05;3.6;3.0;5.4;3.0;6.2;2.4;25.1;-1;-1;100;87;74;2.5;10;6;0;16;0.9;12;2.4;8;0.9;2;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-06;2.5;1.8;3.6;2.2;5.5;0.6;-1;-1;-1;64;95;94;5.8;0;10;10;8;2.4;20;2.4;0;0.0;3;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-07;3.8;3.8;4.8;3.2;5.8;2.2;1.2;-1;-1;98;89;80;0.3;10;10;2;12;0.9;8;2.4;8;0.9;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-08;3.6;3.2;5.8;2.6;6.6;2.1;1.3;-1;-1;69;72;80;3.3;2;9;10;8;2.4;20;2.4;8;0.9;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-09;4.0;3.4;6.6;3.0;7.7;1.9;-1;-1;-1;75;65;74;6.0;10;2;7;8;0.9;8;2.4;32;0.9;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-10;3.6;2.2;6.8;2.7;7.0;1.1;-1;-1;-1;67;53;83;7.6;1;1;3;8;0.9;20;2.4;8;0.9;3;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-11;5.8;5.2;6.5;5.7;6.9;2.2;1.4;-1;-1;90;93;92;0.0;10;10;10;12;2.4;8;2.4;8;2.4;1;1;2;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-12;3.3;5.3;3.4;2.3;6.4;2.2;44.0;-1;-1;75;80;72;0.1;10;10;10;8;6.7;4;12.3;8;12.3;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-13;0.4;-0.8;2.2;0.1;2.7;-1.1;1.4;-1;-1;66;61;50;8.2;2;0;0;4;9.3;4;6.7;8;4.4;3;1;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-14;1.3;0.4;4.6;0.0;5.6;-0.4;-1;-1;-1;45;40;52;7.2;0;3;0;8;4.4;8;4.4;4;9.3;3;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-15;-0.1;-2.0;0.4;0.6;1.2;-2.8;-1;-1;-1;56;48;50;0.0;10;10;10;4;15.5;8;12.3;8;12.3;3;3;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-16;2.1;1.0;4.1;1.6;4.9;0.5;-1;-1;-1;72;47;69;3.8;10;6;0;8;6.7;8;4.4;4;9.3;3;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-17;0.7;1.4;3.3;-1.0;6.0;-1.3;-1;-1;-1;54;54;62;7.2;0;0;0;8;4.4;8;4.4;8;6.7;0;0;0;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-18;-6.1;-6.2;-4.5;-6.8;-1.0;-6.9;-1;-1;-1;54;57;52;8.2;0;0;0;4;9.3;4;15.5;4;12.3;3;3;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-19;-3.1;-6.4;0.1;-3.0;0.3;-8.2;-1;-1;-1;30;44;34;8.5;0;0;0;4;4.4;8;4.4;8;4.4;3;3;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-20;-0.8;-5.0;4.0;-1.0;6.0;-5.5;-1;-1;-1;37;41;66;7.9;0;2;1;4;2.4;12;2.4;12;0.9;3;1;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-21;0.2;-2.7;3.0;0.2;3.1;-3.0;-1;-1;-1;82;60;76;1.1;3;6;10;8;0.9;24;0.9;0;0.0;3;3;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-22;1.3;0.0;3.0;1.0;3.5;-1.2;-1;-1;-1;93;80;82;2.3;9;10;9;12;0.9;12;0.9;32;0.9;3;3;3;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-23;1.2;0.0;0.6;2.1;2.3;-0.4;-1;-1;-1;88;98;90;0.0;10;10;10;0;0.0;20;0.9;8;0.9;3;3;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-24;3.3;3.2;5.2;2.4;5.5;2.0;0.2;0;0;95;93;92;0.0;10;10;10;16;0.9;12;0.9;20;0.9;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
105;1961-01-25;2.6;2.2;3.6;2.2;4.2;1.5;1.5;-1;-1;73;81;72;0.0;10;10;10;12;2.4;12;2.4;8;4.4;1;1;1;null;null;null;null;null;null;NOVELO PRI TEMNICI;402;45.8496939759536;13.6787045206591
