st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
231;1961-01-01;-0.3;-1.1;0.0;-0.1;0.2;-2.2;-1;5;-1;97;95;95;null;10;10;10;28;0.9;0;0.0;0;0.0;7;7;7;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-02;0.7;0.8;1.3;0.3;1.4;-0.7;3.3;5;1;93;97;98;null;10;10;10;28;2.4;12;0.9;0;0.0;7;6;6;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-03;3.2;-1.2;3.8;5.0;5.8;-2.3;1.0;5;-1;100;86;90;null;10;9;10;0;0.0;24;0.9;28;0.9;6;6;5;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-04;5.9;8.0;6.6;4.5;11.4;2.9;0.1;-1;-1;85;95;97;null;7;10;10;20;4.4;28;0.9;24;2.4;5;5;5;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-05;4.0;4.2;6.4;2.6;6.5;1.8;12.9;-1;-1;97;88;90;null;10;9;7;0;0.0;12;2.4;4;2.4;2;2;2;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-06;0.9;0.4;4.0;-0.5;4.9;-1.5;2.9;-1;-1;96;87;100;null;9;9;9;28;4.4;20;0.9;0;0.0;2;2;2;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-07;3.1;1.4;4.0;3.4;4.3;-1.5;0.6;-1;-1;97;92;97;null;10;9;10;20;0.9;4;0.9;4;2.4;2;2;2;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-08;3.0;1.5;5.3;2.6;6.0;-0.1;2.6;-1;-1;98;93;97;null;9;10;10;28;0.9;20;4.4;0;0.0;2;2;2;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-09;3.1;1.6;4.0;3.3;4.3;0.8;0.1;0;0;97;91;85;null;10;10;10;12;0.9;12;4.4;20;4.4;2;2;2;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
231;1961-01-10;2.4;1.6;4.5;1.8;4.7;0.0;0.8;0;0;95;91;84;null;10;7;8;4;2.4;20;2.4;28;4.4;2;2;2;null;null;null;null;null;null;BIZELJSKO - ZGORNJA SUŠICA;171;46.0164008184126;15.6951330022519
