st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
380;1978-06-01;15.4;11.6;20.1;15.0;23.5;8.0;0.1;-1;-1;94;72;80;9.2;8;5;1;28;4.4;28;6.7;28;0.9;null;null;null;7;7;7;952.4;951.0;951.3;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-02;17.1;13.9;25.8;14.4;27.5;13.9;0.3;-1;-1;72;40;76;11.1;7;4;2;20;6.7;12;4.4;20;0.9;null;null;null;7;7;7;952.8;950.4;949.4;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-03;18.5;16.6;25.1;16.2;27.0;11.0;-1;-1;-1;70;37;75;10.5;1;5;3;24;6.7;8;6.7;24;6.7;null;null;null;7;7;7;950.9;947.6;949.3;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-04;18.2;14.8;24.8;16.5;26.5;10.5;-1;-1;-1;79;45;67;7.5;1;5;7;28;4.4;8;4.4;16;4.4;null;null;null;7;7;6;948.9;948.5;949.4;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-05;16.6;14.4;25.2;13.3;27.0;11.0;-1;-1;-1;80;42;99;8.1;0;6;0;24;6.7;16;0.9;32;0.9;null;null;null;7;7;7;949.8;947.7;949.3;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-06;18.5;14.2;25.4;17.2;26.1;10.8;0.1;-1;-1;81;43;77;8.1;9;7;2;28;4.4;8;2.4;4;2.4;null;null;null;6;7;6;947.8;947.0;948.1;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-07;19.0;15.2;26.4;17.2;27.1;10.4;-1;-1;-1;90;37;77;9.8;8;2;2;20;0.9;8;6.7;28;0.9;null;null;null;6;7;7;949.6;946.2;947.0;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-08;17.5;17.0;23.0;15.0;25.5;12.8;-1;-1;-1;77;48;98;7.7;2;10;7;24;2.4;8;6.7;24;2.4;null;null;null;7;6;6;946.0;943.2;947.4;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-09;17.0;14.6;22.2;15.6;24.0;10.5;14.0;-1;-1;94;60;87;8.8;1;6;0;20;4.4;8;6.7;24;2.4;null;null;null;7;6;7;946.4;946.0;944.8;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-10;15.8;13.8;21.4;14.0;22.5;12.0;-1;-1;-1;100;64;100;0.6;10;10;10;28;4.4;8;0.9;20;6.7;null;null;null;6;6;5;945.4;942.4;944.6;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-11;12.6;13.8;12.6;12.0;15.3;12.0;19.3;-1;-1;100;100;96;0.0;10;10;9;20;2.4;8;0.9;32;0.9;null;null;null;6;6;6;945.6;949.3;951.7;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-12;13.2;12.2;14.5;13.0;15.1;10.5;25.6;-1;-1;100;87;100;0.0;10;10;10;28;2.4;12;2.4;28;0.9;null;null;null;6;6;5;948.0;941.7;940.9;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-13;9.9;10.5;12.0;8.5;14.5;8.5;15.0;-1;-1;94;89;99;0.0;10;10;10;4;0.9;12;2.4;8;0.9;null;null;null;6;6;6;941.0;941.8;944.0;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-14;9.6;8.1;12.8;8.8;14.5;7.7;4.5;-1;-1;96;66;95;1.6;10;10;9;8;0.9;12;2.4;20;0.9;null;null;null;6;6;6;943.0;942.8;944.1;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-15;12.1;9.2;18.6;10.2;19.0;5.4;0.1;-1;-1;86;50;78;7.4;5;6;0;24;0.9;8;0.9;28;0.9;null;null;null;7;7;7;940.1;938.8;938.1;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-16;13.6;10.8;18.2;12.7;19.2;5.4;-1;-1;-1;77;48;93;6.0;2;9;10;12;0.9;8;0.9;28;0.9;null;null;null;7;7;5;937.4;936.2;937.0;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-17;11.9;12.1;13.0;11.2;14.5;7.2;5.4;-1;-1;98;100;98;0.0;10;10;10;8;0.9;12;0.9;12;0.9;null;null;null;6;7;5;936.6;937.0;936.9;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-18;14.5;11.6;19.2;13.6;20.1;7.2;35.2;-1;-1;84;43;72;9.5;1;6;6;24;4.4;12;0.9;8;0.9;null;null;null;7;7;7;940.9;943.3;946.2;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-19;14.8;14.2;20.2;12.4;21.0;9.1;-1;-1;-1;69;44;100;11.2;8;5;10;12;0.9;8;0.9;28;2.4;null;null;null;6;7;6;948.4;945.8;949.6;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-20;13.5;13.2;18.6;11.1;21.0;8.5;1.8;-1;-1;77;47;100;5.7;4;9;0;24;4.4;8;6.7;24;0.9;null;null;null;7;7;7;947.6;945.3;944.5;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-21;15.0;12.2;18.4;14.7;20.5;8.7;0.2;-1;-1;89;67;78;4.0;6;4;8;24;9.3;8;4.4;4;0.9;null;null;null;7;7;6;940.5;938.5;942.0;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
380;1978-06-22;14.6;13.6;20.4;12.2;21.5;12.0;0.5;-1;-1;84;44;89;3.8;9;9;1;24;6.7;8;0.9;28;0.9;null;null;null;7;7;7;943.4;940.9;938.5;JESENICE - HRUŠICA;600;46.4496384320439;13.9953045277904
