st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
113;1973-01-01;6.5;6.2;6.9;6.4;7.5;5.5;-1;-1;-1;81;70;64;null;3;4;6;12;0.9;16;0.9;12;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-02;7.0;5.8;8.4;6.8;8.5;5.5;4.0;-1;-1;94;86;92;null;3;2;3;12;0.9;16;0.9;16;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-03;8.8;7.2;12.2;7.8;12.5;6.5;1.0;-1;-1;88;82;92;null;1;3;5;16;2.4;16;2.4;16;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-04;8.1;7.6;10.1;7.4;10.5;6.5;1.2;-1;-1;96;56;59;null;4;2;0;16;0.9;12;2.4;8;4.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-05;7.0;5.8;9.2;6.4;9.5;5.2;-1;-1;-1;57;49;70;null;0;1;0;8;2.4;8;4.4;8;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-06;4.5;4.4;6.8;3.4;7.3;3.2;-1;-1;-1;62;53;73;null;0;0;1;8;2.4;8;2.4;8;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-07;7.9;2.8;12.3;8.2;12.5;2.5;-1;-1;-1;80;58;68;null;1;0;0;8;0.9;8;2.4;8;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-08;7.6;7.2;12.2;5.4;12.5;5.4;-1;-1;-1;64;58;72;null;1;0;0;12;2.4;12;2.4;8;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-09;3.4;1.2;7.5;2.4;8.5;1.2;-1;-1;-1;100;62;82;null;0;0;1;12;2.4;24;2.4;8;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-10;2.4;1.8;5.3;1.2;5.5;0.5;-1;-1;-1;90;65;80;null;2;2;1;8;2.4;8;2.4;8;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-11;2.9;1.2;5.8;2.3;6.5;0.5;-1;-1;-1;70;71;79;null;0;0;0;0;0.0;28;0.9;0;0.0;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-12;3.5;1.0;8.2;2.3;8.5;0.5;-1;-1;-1;86;64;82;null;2;1;0;0;0.0;8;0.9;8;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-13;3.8;1.5;6.8;3.5;7.5;1.5;-1;-1;-1;98;58;65;null;0;0;0;8;2.4;8;2.4;8;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-14;2.6;-0.5;5.3;2.8;5.5;-0.7;-1;-1;-1;83;75;76;null;0;1;3;0;0.0;24;0.9;0;0.0;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-15;3.5;2.4;4.5;3.5;4.5;2.4;-1;-1;-1;81;88;82;null;2;3;5;0;0.0;20;0.9;20;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-16;6.9;8.3;7.8;5.7;8.5;3.5;1.5;-1;-1;95;93;93;null;9;9;5;12;0.9;12;2.4;16;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-17;5.7;4.2;7.4;5.6;7.5;4.2;21.0;-1;-1;88;88;97;null;5;7;9;20;0.9;20;2.4;20;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-18;9.6;9.8;11.2;8.7;11.5;5.5;13.5;-1;-1;93;88;97;null;6;5;8;16;0.9;16;2.4;16;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-19;7.5;7.6;8.6;6.8;9.5;6.5;4.0;-1;-1;96;97;97;null;7;7;9;16;0.9;12;2.4;16;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-20;6.7;6.2;8.5;6.1;8.5;6.1;18.5;-1;-1;94;96;97;null;5;4;2;16;0.9;20;2.4;12;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-21;7.5;4.2;8.2;8.7;8.7;4.2;-1;-1;-1;94;94;89;null;5;3;2;16;0.9;12;0.9;12;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-22;9.4;8.7;12.3;8.3;12.5;4.5;-1;-1;-1;94;80;67;null;3;4;2;12;0.9;12;2.4;12;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-23;7.0;7.6;8.8;5.8;9.5;5.5;-1;-1;-1;69;64;85;null;4;5;7;8;2.4;8;4.4;8;2.4;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-24;5.6;6.8;7.3;4.2;7.3;1.2;3.0;-1;-1;67;41;58;null;2;3;4;8;4.4;8;4.4;8;12.3;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-25;3.9;3.6;6.2;2.8;6.5;1.5;-1;-1;-1;64;51;75;null;1;2;0;8;4.4;8;4.4;8;6.7;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-26;2.1;1.2;4.2;1.4;4.5;0.4;-1;-1;-1;50;71;40;null;1;0;2;8;4.4;8;2.4;8;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-27;-0.1;-2.2;4.4;-1.2;4.5;-3.5;-1;-1;-1;40;72;59;null;2;2;3;28;0.9;28;2.4;12;0.9;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-28;3.9;-1.2;5.8;5.4;6.5;-1.2;-1;-1;-1;63;68;59;null;2;2;1;4;0.9;4;2.4;0;0.0;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-29;4.0;1.8;9.2;2.4;9.5;1.8;-1;-1;-1;93;56;79;null;1;1;0;0;0.0;24;2.4;0;0.0;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
113;1973-01-30;6.4;2.8;10.2;6.2;10.5;2.4;-1;-1;-1;78;58;47;null;1;0;0;8;0.9;24;0.9;0;0.0;null;null;null;null;null;null;null;null;null;ŠKOCJAN - BERTOKI;40;45.5497288482045;13.7953730114758
