st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
249;1961-01-01;-0.8;-1.2;0.0;-0.9;0.4;-1.5;-1;7;-1;95;89;94;null;10;10;10;0;0.0;0;0.0;0;0.0;7;7;7;7;4;4;993.7;994.1;993.3;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-02;0.5;-0.2;1.2;0.4;1.6;-1.0;2.3;8;1;96;92;96;null;10;10;10;0;0.0;0;0.0;0;0.0;7;7;7;3;4;4;989.8;989.3;989.7;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-03;2.2;-2.7;3.9;3.8;8.6;-3.0;1.9;7;-1;100;97;95;null;0;9;9;0;0.0;0;0.0;0;0.0;7;6;6;7;8;7;985.7;982.5;981.3;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-04;6.4;10.8;6.5;4.1;11.2;3.8;0.3;-1;-1;57;91;97;null;7;10;10;16;4.4;0;0.0;0;0.0;1;2;2;8;7;7;974.5;977.6;980.5;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-05;1.4;1.8;4.9;-0.5;5.1;-0.6;6.9;-1;-1;97;88;98;null;10;10;10;0;0.0;0;0.0;0;0.0;2;2;2;4;7;4;983.7;988.5;994.2;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-06;0.1;1.0;4.1;-2.4;5.2;-2.4;1.3;-1;-1;100;79;100;null;10;8;9;0;0.0;24;0.9;0;0.0;1;1;1;5;7;7;997.6;994.6;992.2;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-07;1.8;-0.2;2.9;2.3;3.0;-2.4;0.1;-1;-1;98;92;95;null;10;10;10;0;0.0;18;0.9;0;0.0;2;2;2;5;6;4;989.8;990.2;993.4;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-08;1.8;1.8;4.0;0.6;4.6;0.4;6.1;-1;-1;97;88;97;null;10;10;0;0;0.0;8;0.9;0;0.0;1;1;1;8;6;4;993.8;991.8;991.2;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-09;1.9;0.4;3.3;1.9;3.6;-0.5;0.1;-1;-1;96;85;89;null;10;9;10;0;0.0;0;0.0;24;0.9;1;1;1;5;5;7;992.6;991.7;991.7;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
249;1961-01-10;1.0;1.1;3.4;-0.2;3.5;-0.6;0.3;0;0;91;76;96;null;10;9;10;0;0.0;0;0.0;16;0.9;1;1;1;7;7;7;993.0;991.8;991.0;NOVO MESTO - KANDIJA;193;45.7997352253998;15.1785303395743
