st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
96;1970-04-01;9.8;10.2;11.8;8.6;13.7;8.0;20.3;-1;-1;89;65;72;3.4;10;6;3;16;2.4;16;4.4;32;6.7;2;2;2;7;7;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-02;7.1;7.4;12.8;4.0;12.9;3.2;3.7;-1;-1;75;47;84;1.0;8;9;10;10;2.4;16;4.4;4;9.3;2;2;2;8;8;6;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-03;4.9;4.8;8.2;3.2;9.1;3.2;17.0;-1;-1;66;36;78;0.1;9;10;0;0;0.0;28;2.4;0;0.0;2;2;2;8;8;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-04;4.2;0.0;9.0;3.8;9.6;-3.1;-1;-1;-1;81;31;70;8.9;7;4;9;12;0.9;20;4.4;0;0.0;3;1;1;7;8;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-05;4.7;3.6;3.3;6.0;6.1;1.2;7.9;-1;-1;83;95;52;0.0;10;10;5;32;6.7;6;0.9;4;9.3;2;2;2;8;6;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-06;5.8;2.4;11.4;4.7;11.7;0.3;3.4;0;0;87;37;83;4.8;6;5;9;12;0.9;14;2.4;12;0.9;2;2;1;8;8;7;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-07;7.0;3.6;11.8;6.3;12.6;3.0;6.2;-1;-1;98;49;84;4.3;9;7;2;32;0.9;20;4.4;10;0.9;2;2;2;7;7;7;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-08;10.8;5.5;14.8;11.4;15.2;2.4;-1;-1;-1;85;48;68;2.4;8;9;10;0;0.0;14;0.9;20;2.4;1;1;1;8;8;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-09;9.7;8.4;10.2;10.0;11.4;8.3;19.4;-1;-1;99;80;66;0.3;10;9;5;12;2.4;16;4.4;12;2.4;2;2;2;5;7;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-10;10.4;8.5;13.8;9.6;14.3;7.9;9.4;-1;-1;73;42;65;6.5;9;5;5;12;2.4;18;4.4;12;2.4;2;2;1;8;8;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-11;7.4;5.8;13.1;5.3;14.9;4.0;-1;-1;-1;82;45;76;6.4;9;7;3;0;0.0;2;9.3;14;2.4;1;1;1;7;8;8;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-12;8.6;5.4;14.7;7.2;15.2;2.5;-1;-1;-1;73;31;75;11.8;1;3;0;0;0.0;4;2.4;12;0.9;1;1;1;8;8;7;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
96;1970-04-13;9.1;6.0;12.0;9.1;12.8;2.9;-1;-1;-1;90;56;93;1.6;9;10;10;0;0.0;20;2.4;14;0.9;0;0;2;7;8;6;null;null;null;NOVA GORICA;112;45.9555811556071;13.6523919133947
