st_postaje;datum;tem_pov_dnev_kla;tem_7h;tem_14h;tem_21h;tem_maks;tem_min;padavine_mm;sneg_skupaj_cm;sneg_nov_cm;rel_vlaga_7h;rel_vlaga_14h;rel_vlaga_21h;trajanje_sonca_ure;oblacnost_7h_v_desetinah;oblacnost_14h_v_desetinah;oblacnost_21h_v_desetinah;smer_vetra_7h;hitrost_vetra_7h;smer_vetra_14h;hitrost_vetra_14h;smer_vetra_21h;hitrost_vetra_21h;stanje_tal_7h;stanje_tal_14h;stanje_tal_21h;vidnost_7h;vidnost_14h;vidnost_21h;tlak_7h;tlak_14h;tlak_21h;ime_postaje;nadm_visina;ge_sir_wgs84;ge_dol_wgs84
179;1961-05-01;10.7;9.6;14.2;9.4;14.2;null;-1;-1;-1;null;null;null;null;10;9;9;4;2.4;4;2.4;4;2.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-02;10.7;8.2;15.8;9.4;15.8;null;-1;-1;-1;null;null;null;null;7;7;8;24;2.4;18;4.4;20;2.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-03;13.1;10.4;17.2;12.4;17.4;null;-1;-1;-1;null;null;null;null;8;7;10;24;2.4;14;4.4;14;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-04;13.6;11.8;17.6;12.4;17.6;null;-1;-1;-1;null;null;null;null;8;3;0;0;0.0;20;6.7;20;6.7;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-05;14.8;12.8;19.2;13.6;19.2;null;-1;-1;-1;null;null;null;null;4;5;9;20;2.4;20;9.3;20;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-06;16.0;14.6;19.7;14.8;19.8;null;-1;-1;-1;null;null;null;null;8;7;8;24;4.4;12;9.3;12;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-07;13.9;11.2;19.1;12.6;19.4;null;7.5;-1;-1;null;null;null;null;9;3;8;0;0.0;24;4.4;24;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-08;9.6;10.6;12.1;7.8;13.2;null;-1;-1;-1;null;null;null;null;10;9;9;6;9.3;12;4.4;12;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-09;9.4;8.1;15.1;7.2;15.6;null;13.7;-1;-1;null;null;null;null;10;7;7;8;4.4;8;4.4;8;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-10;8.4;4.9;13.7;7.4;14.6;null;3.0;-1;-1;null;null;null;null;2;7;0;0;0.0;32;6.7;32;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-11;8.5;7.7;10.6;7.9;12.8;null;-1;-1;-1;null;null;null;null;2;6;3;4;0.9;8;6.7;8;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-12;7.8;8.1;10.4;6.3;10.8;null;-1;-1;-1;null;null;null;null;3;8;10;8;2.4;8;2.4;8;2.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-13;7.2;4.4;10.1;7.1;11.8;null;1.0;-1;-1;null;null;null;null;8;8;2;12;2.4;12;4.4;12;2.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-14;11.2;9.2;14.7;10.4;15.4;null;0.3;-1;-1;null;null;null;null;6;5;3;18;2.4;20;4.4;20;6.7;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-15;9.8;9.8;12.4;8.4;12.6;null;-1;-1;-1;null;null;null;null;10;10;10;0;0.0;8;4.4;8;9.3;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-16;7.2;5.0;9.4;7.2;9.4;null;62.6;-1;-1;null;null;null;null;10;10;10;8;2.4;8;4.4;8;4.4;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-17;8.2;6.1;12.0;7.4;12.6;null;4.5;-1;-1;null;null;null;null;10;3;2;8;6.7;8;6.7;8;6.7;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
179;1961-05-18;8.8;6.4;12.0;8.4;12.8;null;-1;-1;-1;null;null;null;null;3;7;10;8;4.4;12;6.7;12;6.7;null;null;null;null;null;null;null;null;null;ROVTE;700;45.9830253799652;14.1786384785285
